,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
456,Socorro,US,31.6546,-106.3033,95.05,13,75,15.08,broken clouds
457,Deputatskiy,RU,69.3,139.9,40.28,81,100,4.05,overcast clouds
458,Embu,BR,-23.6489,-46.8522,65.75,82,100,5.5,moderate rain
459,Soe,ID,-9.8607,124.284,60.1,92,35,4.05,scattered clouds
460,Cap Malheureux,MU,-19.9842,57.6142,72.09,77,43,5.01,light rain
461,Coquimbo,CL,-29.9533,-71.3436,58.73,77,20,5.21,few clouds
462,Prince Rupert,CA,54.3161,-130.3201,53.69,81,1,3.44,clear sky
463,Zatoka,UA,46.0725,30.4654,66.74,73,73,7.85,broken clouds
464,Portsmouth,GB,50.799,-1.0913,68.77,82,60,4.0,broken clouds
465,Yuancheng,CN,36.652,107.7896,68.07,63,89,3.65,overcast clouds
466,Chachapoyas,PE,-6.2317,-77.869,62.62,78,85,1.5,light rain
467,Narsaq,GL,60.9167,-46.05,64.62,50,60,2.1,broken clouds
468,Phayakkhaphum Phisai,TH,15.5163,103.1937,82.42,85,100,8.61,moderate rain
469,Arman,RU,59.7,150.1667,42.75,90,100,3.24,overcast clouds
470,Jinka,ET,5.65,36.65,66.63,62,12,3.98,few clouds
471,Praia,CV,14.9215,-23.5087,82.94,44,0,21.85,clear sky
472,Taksimo,RU,56.3444,114.8794,47.68,88,100,3.56,overcast clouds
473,Yumbe,UG,3.4651,31.2469,69.49,74,1,4.63,clear sky
474,Bathsheba,BB,13.2167,-59.5167,86.61,58,40,17.45,scattered clouds
475,Labis,MY,2.385,103.021,75.83,90,10,2.46,clear sky
476,Santiago Del Estero,AR,-27.7951,-64.2615,73.08,44,1,7.58,clear sky
477,Surgut,RU,61.25,73.4167,42.98,75,0,6.17,clear sky
478,Lagarto,BR,-10.9172,-37.65,79.09,57,100,10.65,overcast clouds
479,Parkes,AU,-33.1333,148.1833,43.36,98,100,9.15,overcast clouds
480,Kuvandyk,RU,51.4781,57.3552,64.62,66,100,12.68,overcast clouds
481,Chara,RU,56.9064,118.2631,48.33,85,100,3.09,overcast clouds
482,Watsa,CD,3.0372,29.5355,66.47,82,1,1.63,clear sky
483,Sawakin,SD,19.1059,37.3321,89.29,47,0,9.33,clear sky
484,Baykalovo,RU,57.3981,63.7684,44.82,65,1,6.51,clear sky
485,Radis,TN,36.7681,10.2753,76.91,29,0,10.11,clear sky
486,Portland,US,45.5234,-122.6762,66.56,59,75,3.0,broken clouds
487,Kuruman,ZA,-27.4524,23.4325,45.99,88,100,18.23,light rain
488,Dudinka,RU,69.4058,86.1778,29.71,92,56,1.32,broken clouds
489,Grand Gaube,MU,-20.0064,57.6608,72.0,77,56,5.01,light rain
490,Kamenka,RU,51.3223,42.7678,59.45,85,14,3.51,few clouds
491,Chiredzi,ZW,-21.05,31.6667,64.27,56,76,2.98,broken clouds
492,Baglung,NP,28.2719,83.5898,70.97,75,91,4.83,overcast clouds
493,Le Port,RE,-20.9373,55.2919,68.0,85,60,6.08,light rain
494,Gornopravdinsk,RU,60.05,69.9,37.63,69,0,2.66,clear sky
495,Brigantine,US,39.4101,-74.3646,90.16,72,20,13.56,few clouds
496,Binzhou,CN,37.3667,118.0167,75.06,44,100,6.91,light rain
497,Novoagansk,RU,61.9449,76.6625,38.77,74,11,6.29,few clouds
498,Ocos,GT,14.5094,-92.1933,91.9,68,100,6.96,overcast clouds
499,Khorixas,NA,-20.3667,14.9667,63.45,29,0,5.32,clear sky
500,Katsuura,JP,35.1333,140.3,71.71,81,74,7.94,broken clouds
501,Borogontsy,RU,62.6683,131.1683,56.91,71,100,10.56,light rain
502,Kindu,CD,-2.95,25.95,74.26,67,31,1.92,scattered clouds
503,Novikovo,RU,51.1537,37.8879,59.45,86,8,3.29,clear sky
504,Cururupu,BR,-1.8283,-44.8683,81.81,79,76,4.88,moderate rain
505,Olinda,BR,-8.0089,-34.8553,73.13,88,90,10.16,overcast clouds
506,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,81.03,41,27,6.38,light rain
507,Linxia,CN,35.6003,103.2064,57.43,82,100,4.9,overcast clouds
508,Nanakuli,US,21.3906,-158.1547,82.35,59,1,14.88,clear sky
509,Hami,CN,42.8,93.45,78.12,12,98,4.36,overcast clouds
510,Orbetello,IT,42.4408,11.2196,66.22,85,100,3.44,overcast clouds
511,Mastic Beach,US,40.7668,-72.8521,86.95,62,1,10.36,clear sky
512,Suda,RU,59.1525,37.5582,55.51,82,21,4.14,few clouds
513,Huarmey,PE,-10.0681,-78.1522,72.07,68,100,10.4,overcast clouds
514,Karasjok,NO,69.4719,25.5112,53.71,55,96,4.76,overcast clouds
515,Kayanga,TZ,-1.5303,31.1511,60.17,74,11,1.21,few clouds
516,Sasayama,JP,35.0667,135.2167,69.37,93,100,3.85,overcast clouds
517,Kyren,RU,51.6828,102.1408,50.27,79,2,2.3,clear sky
518,Creston,US,41.0586,-94.3614,87.24,69,40,8.05,scattered clouds
519,Floro,NO,61.5996,5.0328,69.22,51,20,3.44,few clouds
520,Frontera,MX,26.9333,-101.45,100.33,34,21,6.78,few clouds
521,Polyarnyy,RU,69.1989,33.4478,55.87,75,44,2.68,scattered clouds
522,Landeck,AT,47.1301,10.5636,59.76,93,100,1.99,overcast clouds
523,Akyab,MM,20.15,92.9,82.29,81,77,4.27,broken clouds
524,Belmonte,BR,-15.8631,-38.8828,78.8,76,81,7.45,broken clouds
525,Vanavara,RU,60.34,102.2797,40.66,63,13,8.25,few clouds
526,Boyolangu,ID,-8.1181,111.8935,75.38,89,79,1.99,broken clouds
527,Am Timan,TD,11.0297,20.2827,85.23,54,99,6.62,overcast clouds
528,Chulman,RU,56.8479,124.9104,51.82,79,100,10.02,overcast clouds
529,Pacific Grove,US,36.6177,-121.9166,69.57,68,1,5.99,clear sky
530,Medicine Hat,CA,50.0501,-110.6683,69.37,32,90,3.0,overcast clouds
531,Aksarka,RU,66.5606,67.7975,38.17,60,23,5.82,few clouds
532,Den Helder,NL,52.9599,4.7593,69.94,75,24,4.61,few clouds
533,Lasa,IT,46.6166,10.7002,65.28,96,100,0.76,light rain
534,Komsomolskiy,UZ,40.4272,71.7189,74.12,53,31,4.61,scattered clouds
535,Camabatela,AO,-8.1881,15.375,68.16,50,3,5.48,clear sky
536,Buchanan,LR,5.8808,-10.0467,80.01,80,39,5.59,light rain
537,Buraydah,SA,26.326,43.975,97.25,11,4,10.54,clear sky
538,Okhotsk,RU,59.3833,143.3,42.46,86,97,7.2,overcast clouds
539,Galveston,US,29.3669,-94.9669,93.22,76,20,5.99,few clouds
540,Zhezkazgan,KZ,47.8043,67.7144,72.25,32,9,10.94,clear sky
541,Luau,AO,-10.7073,22.2247,65.73,47,5,3.06,clear sky
542,Aksu,CN,41.1231,80.2644,79.03,27,100,15.82,overcast clouds
543,Vila,PT,42.0304,-8.1588,68.7,55,8,4.12,clear sky
544,Champerico,GT,14.3,-91.9167,91.94,69,100,8.84,overcast clouds
545,Alyangula,AU,-13.8483,136.4192,62.47,100,46,9.1,scattered clouds
546,Sohag,EG,26.557,31.6948,91.69,13,0,12.37,clear sky
547,Naze,JP,28.3667,129.4833,74.84,88,100,4.63,moderate rain
548,High Prairie,CA,55.4334,-116.4858,58.3,48,39,6.87,scattered clouds
549,Axim,GH,4.8699,-2.2405,80.96,79,48,8.28,scattered clouds
550,Wamba,NG,8.9333,8.6,81.59,68,94,0.6,light rain
551,Rurrenabaque,BO,-14.4413,-67.5278,78.69,89,75,6.91,broken clouds
552,Saint-Francois,FR,46.4154,3.9054,72.84,56,0,4.61,clear sky
553,Sulangan,PH,11.1373,123.7228,78.76,88,100,9.04,moderate rain
554,Loukhi,RU,66.0764,33.0381,60.96,55,86,2.13,overcast clouds
555,Xining,CN,36.6167,101.7667,53.13,80,63,3.8,broken clouds
556,Beloha,MG,-25.1667,45.05,66.2,74,0,15.26,clear sky
557,Uray,RU,60.1247,64.7758,45.72,56,6,4.79,clear sky
558,Sabang,ID,5.8933,95.3214,83.35,72,99,24.05,overcast clouds
559,Lavrentiya,RU,65.5833,-171.0,33.48,85,100,8.63,overcast clouds
560,Tocopilla,CL,-22.092,-70.1979,66.16,67,100,5.41,overcast clouds
561,Anastacio,BR,-20.4836,-55.8069,75.36,72,100,4.94,overcast clouds
562,Price,US,39.5994,-110.8107,81.66,9,1,16.11,clear sky
563,Sedan,FR,49.6667,5.0,70.5,81,50,5.35,scattered clouds
564,Bouna,CI,9.2667,-3.0,76.59,74,100,3.38,light rain
565,Paraiso,CR,9.8383,-83.8656,70.66,90,100,1.54,overcast clouds
566,Kalemie,CD,-5.9475,29.1947,71.87,69,19,3.49,few clouds
567,Bandar,ID,2.05,99.75,71.35,92,93,3.53,overcast clouds
568,San Rafael,AR,-34.6177,-68.3301,66.76,29,6,17.87,clear sky
569,Taoudenni,ML,22.6783,-3.9836,110.19,8,5,11.92,clear sky
570,Semey,KZ,50.4111,80.2275,69.71,39,100,6.76,overcast clouds
571,Bosaso,SO,11.2842,49.1816,91.89,49,0,2.42,clear sky
572,Toamasina,MG,-18.1667,49.3833,66.2,94,75,6.91,light rain
573,General Roca,AR,-39.0333,-67.5833,55.8,38,100,8.39,overcast clouds
574,Kempsey,AU,-31.0833,152.8333,55.35,98,100,1.01,light rain
575,Ambilobe,MG,-13.2,49.05,69.4,79,0,3.31,clear sky
576,Coracora,PE,-15.0333,-73.7833,57.34,30,95,10.83,overcast clouds
577,Westport,US,41.1415,-73.3579,88.77,76,1,1.99,clear sky
578,Ola,RU,59.5833,151.2833,42.08,91,50,2.77,scattered clouds
579,High Rock,BS,26.6208,-78.2833,86.02,65,77,13.4,broken clouds
580,Moussoro,TD,13.6408,16.4901,97.2,14,100,7.0,overcast clouds
581,Trat,TH,12.5,102.5,74.23,99,100,4.27,light rain
582,Palembang,ID,-2.9167,104.7458,74.97,92,89,3.42,overcast clouds
583,Vieste,IT,41.8825,16.175,72.1,82,14,10.18,few clouds
584,Pasco,US,28.292,-82.4165,95.83,50,53,3.0,broken clouds
585,Jinchang,CN,38.4953,102.1739,60.4,58,3,2.64,clear sky
586,Vallenar,CL,-28.5708,-70.7581,77.65,21,0,6.15,clear sky
587,Bassila,BJ,9.0081,1.6654,70.99,91,100,3.71,light rain
588,Matamoros,MX,25.5333,-103.25,99.1,20,20,0.74,few clouds
589,Khilok,RU,51.3674,110.4676,43.72,97,27,4.88,scattered clouds
590,Ivybridge,GB,50.3904,-3.9191,63.57,78,10,4.61,clear sky
591,Basoko,CD,1.2391,23.616,77.02,72,41,1.25,scattered clouds
592,Salinopolis,BR,-0.6136,-47.3561,82.49,78,100,7.49,overcast clouds
593,Emerald,AU,-23.5333,148.1667,60.94,48,75,18.41,broken clouds
594,Ayan,RU,56.45,138.1667,49.08,83,58,1.5,broken clouds
595,Abha,SA,18.2164,42.5053,80.42,9,20,13.04,few clouds
596,Guaraniacu,BR,-25.1008,-52.8781,67.06,96,100,3.49,overcast clouds
597,Pangnirtung,CA,66.1451,-65.7125,37.4,87,90,11.5,overcast clouds
598,Bayanday,RU,53.0661,105.5139,47.66,67,100,1.79,overcast clouds
599,La Ciotat,FR,43.1748,5.6045,80.49,62,0,10.04,clear sky
600,Igarka,RU,67.4667,86.5833,32.58,79,18,5.39,few clouds
601,Colinas,BR,-6.0258,-44.2492,93.85,33,100,2.3,overcast clouds
602,Aklavik,CA,68.2191,-135.0107,63.32,47,40,2.3,scattered clouds
603,Auki,SB,-8.7676,160.7034,76.73,88,76,2.98,broken clouds
604,Bukachacha,RU,52.9833,116.9167,48.85,94,0,3.22,clear sky
605,Skwierzyna,PL,52.5991,15.5065,73.72,69,1,10.65,clear sky
606,Nsanje,MW,-16.92,35.262,64.69,92,69,2.89,broken clouds
607,Vondrozo,MG,-22.8167,47.2833,57.56,93,71,2.28,broken clouds
608,Killybegs,IE,54.6333,-8.45,64.11,88,100,13.11,overcast clouds
609,Aksehir,TR,38.3575,31.4164,60.31,75,62,0.76,broken clouds
610,Amos,CA,48.5669,-78.1162,80.58,37,42,5.55,scattered clouds
611,Storforshei,NO,66.4043,14.5233,64.18,48,0,2.8,clear sky
612,Carbondale,US,37.7273,-89.2168,76.96,90,90,10.36,moderate rain
613,Ternate,ID,0.8,127.4,80.6,81,32,6.24,scattered clouds
614,Margate,GB,51.3813,1.3862,65.3,65,50,1.99,scattered clouds
615,Tiksi,RU,71.6872,128.8694,33.17,99,100,7.09,snow
616,Huanren,CN,41.2647,125.3667,61.88,95,100,4.0,overcast clouds
617,Najran,SA,17.4924,44.1277,90.25,13,59,4.54,broken clouds
618,Udachnyy,RU,66.4167,112.4,40.98,72,64,0.92,broken clouds
619,Coos Bay,US,43.3665,-124.2179,65.01,75,90,12.66,overcast clouds
620,Berlevag,NO,70.8578,29.0864,53.4,71,0,4.61,clear sky
621,Te Anau,NZ,-45.4167,167.7167,44.44,93,100,1.12,overcast clouds
622,Chino Valley,US,34.7575,-112.4538,84.81,10,1,1.01,clear sky
623,Qunduz,AF,36.729,68.857,85.66,26,0,2.98,clear sky
624,Rognan,NO,67.0953,15.3878,56.75,79,97,4.03,overcast clouds
625,Soller,ES,39.7662,2.7152,75.85,58,0,1.79,clear sky
626,Banjar,ID,-8.19,114.9675,80.46,91,54,5.32,broken clouds
627,Zanesville,US,39.9404,-82.0132,85.08,69,75,1.99,broken clouds
628,Ryotsu,JP,38.0833,138.4333,62.01,91,0,1.61,clear sky
629,Marawi,PH,7.9986,124.2928,69.66,93,95,2.17,overcast clouds
630,Celestun,MX,20.8667,-90.4,90.63,59,39,11.52,scattered clouds
631,Benjamin Hill,MX,30.1667,-111.1,93.29,12,95,13.8,overcast clouds
632,Thinadhoo,MV,0.5333,72.9333,83.25,73,3,10.36,clear sky
633,Markala,ML,13.7021,-6.0659,91.44,35,99,20.96,overcast clouds
634,Husum,DE,54.4858,9.0524,64.89,81,21,5.86,few clouds
635,Kununurra,AU,-15.7667,128.7333,58.98,82,8,0.0,clear sky
636,Hervey Bay,AU,-25.2986,152.8535,67.01,94,31,3.0,scattered clouds
637,Perugia,IT,43.05,12.55,66.88,94,100,2.3,overcast clouds
638,Talaya,RU,61.3833,152.75,48.74,77,58,2.08,broken clouds
639,Teya,RU,60.3778,92.6267,52.27,97,78,9.69,light rain
640,Nevinnomyssk,RU,44.6267,41.9453,62.11,79,59,0.36,broken clouds
641,Russas,BR,-4.9403,-37.9758,93.07,37,42,4.23,scattered clouds
642,Pudozh,RU,61.8099,36.5345,52.7,55,26,5.66,scattered clouds
643,Prainha,BR,-1.8,-53.48,87.17,57,100,5.97,overcast clouds
644,Broken Hill,AU,-31.95,141.4333,40.71,87,0,16.11,clear sky
645,Ketchikan,US,55.3422,-131.6461,61.27,63,1,13.8,clear sky
646,Zhangye,CN,38.9342,100.4517,60.42,57,0,6.17,clear sky
647,Guarapari,BR,-20.6667,-40.4975,81.91,74,52,7.87,broken clouds
648,Dali,CN,25.7,100.1833,62.76,96,100,5.3,moderate rain
649,Genhe,CN,50.7833,121.5167,53.71,96,100,2.21,overcast clouds
650,Ngunguru,NZ,-35.6167,174.5,57.16,89,65,18.21,broken clouds
651,Yei,SS,4.095,30.6779,70.75,73,10,2.89,clear sky
652,Vao,NC,-22.6667,167.4833,69.21,63,100,8.5,overcast clouds
653,San Buenaventura,MX,27.0833,-101.5333,101.48,34,11,5.79,few clouds
654,Kabwe,ZM,-14.4469,28.4464,54.43,82,6,8.16,clear sky
655,Ajaccio,FR,42.0,8.9167,66.18,73,0,1.63,clear sky
656,Miraflores,MX,19.2167,-98.8083,75.87,31,44,3.51,scattered clouds
657,Nioro,GM,13.35,-15.75,96.67,35,97,10.65,overcast clouds
658,Saulkrasti,LV,57.2622,24.4147,64.35,88,78,6.04,broken clouds
659,Junqueiro,BR,-9.9253,-36.4758,75.36,85,100,9.35,overcast clouds
660,Ariquemes,BR,-9.9133,-63.0408,89.2,48,68,2.73,broken clouds
661,Katherine,AU,-14.4667,132.2667,62.92,77,71,6.67,broken clouds
662,Kirovskiy,RU,45.0917,133.5136,57.74,89,6,3.89,clear sky
663,Rehoboth,NA,-23.3167,17.0833,53.49,37,0,7.99,clear sky
664,Yanji,CN,42.9075,129.5078,56.48,84,88,0.07,overcast clouds
665,Tchaourou,BJ,8.8865,2.5975,74.98,84,100,3.33,light rain
666,Lakki Marwat,PK,32.6079,70.9114,104.68,17,0,10.56,clear sky
667,Gweta,BW,-20.1833,25.2333,61.83,41,4,6.76,clear sky
668,Suntar,RU,62.1444,117.6319,42.35,68,9,9.13,clear sky
669,Purpe,RU,64.4803,76.6897,35.73,65,27,10.89,scattered clouds
670,Araouane,ML,18.9048,-3.5265,101.61,13,0,8.7,clear sky
671,Alamogordo,US,32.8995,-105.9603,94.41,12,1,10.36,clear sky
672,Rafai,CF,4.95,23.9167,70.7,87,100,2.55,light rain
673,Vangaindrano,MG,-23.35,47.6,64.9,88,71,4.92,light rain
674,Sao Filipe,CV,14.8961,-24.4956,79.3,60,7,6.49,clear sky
675,Solnechnyy,RU,50.7214,136.6319,59.97,76,13,3.67,few clouds
676,Isiro,CD,2.7739,27.616,70.12,88,100,2.33,overcast clouds
677,Talara,PE,-4.5772,-81.2719,77.76,65,0,11.5,clear sky
678,Rantepao,ID,-2.9701,119.8978,64.69,97,18,2.51,few clouds
679,Boli,CN,45.7667,130.5167,61.7,67,5,5.73,clear sky
680,Charters Towers,AU,-20.1,146.2667,63.27,42,91,15.99,overcast clouds
681,Qaqortoq,GL,60.7167,-46.0333,64.9,67,21,7.09,few clouds
682,Oka,CA,45.4649,-74.0889,89.49,61,99,4.0,overcast clouds
683,Havoysund,NO,70.9963,24.6622,50.88,88,97,6.82,overcast clouds
684,Giresun,TR,40.5,38.5,34.92,89,100,2.53,overcast clouds
685,Santarem,BR,-2.4431,-54.7083,86.13,66,75,4.61,broken clouds
686,Seminole,US,28.7086,-81.2081,98.37,57,40,3.0,scattered clouds
687,Skjervoy,NO,70.0311,20.9714,47.68,86,99,1.83,overcast clouds
